scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
balance_board,70,100,-31,43,15
blush,41,-100,14,15,-6
boxing_gloves,-14,-74,-100,37,-9
citrus_juicer,-100,-59,9,-15,-10
cocktail_kit,-100,22,41,38,-35
convertible,-89,-100,-24,17,-49
cutting_board,45,46,100,-55,-59
dry_bag,100,11,-100,5,-9
dslr_camera,87,10,-43,42,100
easel,34,100,77,49,76
ecg_monitor,-77,-48,-33,-86,-100
fins,-13,100,35,-4,-29
gas_can,-2,-91,-46,-100,-3
golf_cart,66,100,5,24,48
hair_dryer,-7,-40,-14,-100,-34
ham,-34,-100,-47,-3,-35
hoe,28,2,100,-40,35
hoodie,85,37,-72,-87,-100
hot_glue_sticks,25,31,-100,71,43
hotel,-100,72,30,-35,-63
ice_cream,23,64,43,100,-97
inversion_table,100,12,-5,-15,14
knee_pads,10,-33,-7,-100,-32
lip_scrub,41,100,80,6,42
loan,61,-100,-1,93,-9
loose_leaf_tea,-53,50,62,-56,100
luggage_tag,100,14,89,-55,-13
magnetic_calendar,-100,45,-17,-87,32
milk_storage_bags,90,100,-22,33,-28
mold_test,-37,82,100,13,14
nail_file,-100,-3,-0,-30,6
olive_pitter,100,-89,-25,-47,65
oven,21,100,-62,-22,-40
painters_tape,-17,10,100,45,28
pasta_maker,-10,-100,-84,58,40
pilates_ring,-36,-100,70,-36,24
reusable_bag,29,-30,-50,-9,100
rfid_wallet,-11,60,100,97,12
salmon,-70,82,18,-100,-98
scrunchie,-4,-28,-32,100,64
security_camera,-15,-9,100,6,-21
shower_curtain,87,-100,54,68,27
shuffleboard_table,-5,-83,-88,66,100
snow_blower,-67,76,1,-100,-0
sparkling_water,70,29,52,75,-100
stopwatch,-48,61,75,-90,-100
tongs,-14,-1,-71,-100,-48
washi_tape,41,12,34,-40,100
washing_machine,35,-5,-100,-73,-62
wood_burner,-28,-100,2,-14,-49
