scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
adapter,87,3,34,-100,-84
alcohol_markers,43,100,-4,24,0
amusement_park,-38,-48,-53,100,29
antenna,100,46,15,33,-12
arrows,-100,-45,-66,95,-21
balance_board,6,-56,-83,-28,-100
blush,36,-80,100,-14,-33
boxing_gloves,40,60,48,100,64
bracelet,-43,-100,13,8,2
central_vacuum,38,-100,-8,-11,2
cherry_pitter,23,-100,37,-62,-52
cocktail_kit,-76,-16,-12,32,-100
console,29,100,-68,-95,50
convertible,-100,-24,33,-42,1
crochet_hook,78,100,21,24,34
cutting_board,98,100,48,51,10
diaper_bag,14,-21,-14,-100,15
dominoes,100,72,5,23,4
dry_bag,100,78,-20,-37,22
dslr_camera,4,100,27,9,-15
easel,100,35,47,22,-1
electric_grill,69,100,-61,10,32
fabric_markers,43,-19,100,-24,-56
fins,-99,-100,-44,20,-77
garment_steamer,87,-66,100,-82,99
gas_can,55,87,100,-90,-25
golf_cart,100,58,72,2,-14
hair_dryer,13,16,-51,-100,19
ham,-99,-92,-100,30,-2
hoe,86,6,49,-100,62
hoodie,100,18,-9,-10,13
hot_glue_sticks,57,100,-89,-39,51
hotel,-100,92,93,-98,6
house,-43,28,-100,-47,97
ice_cream,94,23,-30,80,-100
ink_cartridge,100,41,-39,21,24
inversion_table,100,10,16,1,-20
jewelry_kit,3,11,-46,17,100
knee_pads,100,-24,2,-34,-2
lint_roller,70,100,96,13,18
lip_scrub,-34,58,-100,67,-61
loan,-100,-52,2,6,-17
loose_leaf_tea,100,-10,0,-23,25
luggage_tag,100,19,19,60,6
magnetic_calendar,9,85,-79,-2,100
microwave_cover,43,0,-43,100,56
milk_storage_bags,50,100,11,18,9
mixer,59,99,24,31,-100
mold_test,-14,-100,21,-78,11
necklace_stand,82,100,-12,96,16
night_light,-85,16,-100,-39,38
olive_pitter,82,20,4,-100,89
outdoor_tv_cover,100,38,4,-13,2
oven,91,100,-89,-9,-29
paper_towel,71,100,75,94,23
pasta_maker,39,-14,33,100,-6
pattern_weights,-100,25,36,-34,61
pilates_ring,-7,-100,1,62,17
popcorn,25,41,-35,-100,-42
porch_swing,-100,35,-89,-53,21
pressure_cooker,100,19,-34,9,-22
rabbit,-16,-100,-81,20,-66
recliner,18,51,100,69,3
reusable_bag,66,-100,21,45,73
rfid_wallet,14,1,100,-74,18
safety_pins,100,-5,13,16,4
salmon,25,30,100,-45,72
sawhorse,-100,43,18,-5,-26
scrunchie,62,74,-12,100,93
security_camera,66,69,100,87,70
sewing_machine,100,31,1,-48,32
shower_curtain,100,-41,19,-17,36
sippy_cup,100,-2,17,37,-1
sleep_sack,71,27,6,100,-24
sleeping_bag,14,-100,-5,-29,32
snow_blower,100,18,46,49,-56
snow_brush,100,-5,15,-14,47
soccer_ball,100,45,41,51,15
soil,21,22,1,17,100
sparkling_water,100,19,-1,39,-21
sponges,100,57,45,76,8
stability_ball,100,-4,13,34,20
stapler,95,67,98,-11,100
stockings,11,58,100,-34,-5
stopwatch,100,16,65,13,-17
tamper,44,100,-5,-16,91
tea,100,-5,3,64,-25
tongs,61,17,34,-42,100
travel_wallet,8,21,15,100,-72
washi_tape,100,41,29,-4,42
washing_machine,100,37,-82,-14,-49
wheelbarrow,16,1,42,100,76
windshield_cover,100,66,26,-10,9
wood_burner,18,-100,14,40,-34
wood_glue,37,-63,-100,20,12
