scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
blush,-56,-100,4,4,-35
cocktail_kit,-100,-66,-29,-26,-8
cutting_board,-100,-79,-50,44,47
hot_glue_sticks,-100,-48,27,28,-13
hotel,32,-34,-76,-32,100
ice_cream,-53,-8,-38,-100,68
inversion_table,-100,-31,-10,-4,4
knee_pads,86,3,39,-100,22
loose_leaf_tea,-100,-89,-87,40,-19
luggage_tag,15,3,100,-28,-21
milk_storage_bags,-22,-30,53,100,32
olive_pitter,-100,-24,-2,26,-18
painters_tape,100,-11,-52,-8,-19
reusable_bag,-100,1,-32,-9,51
rfid_wallet,6,8,64,100,1
scrunchie,-51,-98,-46,-100,-39
security_camera,-32,-20,-100,-9,-16
shower_curtain,81,-45,87,100,56
shuffleboard_table,-100,9,60,-49,-42
wood_burner,-42,100,-17,-4,58
