scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
balance_board,-48,-100,-17,-27,22
boxing_gloves,-100,-35,-80,-74,12
citrus_juicer,-100,5,-53,28,60
convertible,61,100,-32,24,4
dry_bag,-100,-48,2,-10,-10
dslr_camera,-100,-46,-3,-1,9
easel,-100,-38,-25,-13,-28
ecg_monitor,-50,-21,-100,-15,-7
hair_dryer,-100,-4,-2,-26,9
ham,-73,-48,-8,100,-68
hoodie,37,39,95,100,27
loan,-6,100,-4,19,24
magnetic_calendar,-100,-92,-38,9,5
mold_test,-57,100,-81,60,10
nail_file,-100,-21,-7,-6,-6
pasta_maker,-100,-23,2,-32,-23
salmon,-100,-31,-31,-83,-24
snow_blower,-100,-93,-34,-5,23
washi_tape,-86,-11,-100,56,-61
washing_machine,-95,-83,100,29,48
