scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
balance_board,61,-100,50,26,8
boxing_gloves,100,-22,85,19,-20
citrus_juicer,31,-20,1,-14,-100
convertible,-60,47,56,-100,-1
dry_bag,100,98,-19,-9,-49
dslr_camera,3,23,100,17,-55
easel,93,4,-22,18,100
ecg_monitor,100,62,-61,2,14
hair_dryer,1,-4,-89,-100,4
ham,-29,-21,-29,-100,30
hoodie,100,49,35,37,21
loan,-57,-100,-8,-15,-23
magnetic_calendar,15,36,100,-14,34
mold_test,10,-100,45,-100,-29
nail_file,43,99,51,-96,100
pasta_maker,100,-49,-57,65,-49
salmon,51,37,100,19,31
snow_blower,88,47,100,-10,-38
washi_tape,100,-28,46,-44,66
washing_machine,100,12,-94,-65,-71
