scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
blush,31,-100,-42,54,-7
cocktail_kit,-100,2,31,45,-37
cutting_board,2,43,22,-90,-100
hot_glue_sticks,93,55,-100,-34,38
hotel,-100,58,10,16,-71
ice_cream,19,-24,40,92,-100
inversion_table,100,42,-4,-3,12
knee_pads,55,3,28,-100,-6
loose_leaf_tea,-100,64,48,-66,3
luggage_tag,73,10,100,-70,-6
milk_storage_bags,76,100,-8,27,-7
olive_pitter,-70,-100,-30,1,82
painters_tape,-100,2,88,-9,-4
reusable_bag,32,-1,-48,10,100
rfid_wallet,-23,44,100,91,-6
scrunchie,7,100,-12,58,27
security_camera,-20,12,100,11,7
shower_curtain,100,-87,50,83,64
shuffleboard_table,-19,-92,-76,56,100
wood_burner,-100,-98,-75,-14,-77
