scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
adapter,19,-12,-46,-91,-100
alcohol_markers,53,100,49,44,21
amusement_park,-86,-10,-63,100,56
antenna,73,100,38,3,-65
arrows,-91,-90,-63,100,11
balance_board,100,-71,62,-4,-11
blush,51,-100,80,-14,18
boxing_gloves,78,34,-67,100,-60
bracelet,-78,-100,53,-12,-57
central_vacuum,13,-100,-4,9,5
cherry_pitter,32,-100,58,-63,-28
citrus_juicer,-100,17,-27,-6,66
cocktail_kit,-100,-3,-4,44,-78
console,-40,81,3,-11,100
convertible,-100,-26,9,-13,13
crochet_hook,100,-10,76,10,27
cutting_board,68,100,12,52,47
diaper_bag,20,15,-2,-100,44
dominoes,100,58,22,12,-3
dry_bag,78,100,-34,28,1
dslr_camera,91,100,53,20,-28
easel,100,20,32,46,18
electric_grill,38,45,-100,40,65
fabric_markers,37,-54,89,-100,-90
fins,-100,-82,-6,-18,-5
garment_steamer,15,-8,52,100,54
gas_can,42,87,100,-72,-47
golf_cart,100,100,54,5,-4
hair_dryer,44,-10,-100,-70,31
ham,-97,-74,-100,3,-9
hoe,61,-10,59,-100,57
hoodie,100,23,11,4,8
hot_glue_sticks,84,95,-83,-73,100
hotel,-100,76,46,-70,-1
house,-39,49,-67,-92,100
ice_cream,63,40,35,68,-100
ink_cartridge,100,37,-79,-6,32
inversion_table,100,-7,40,5,6
jewelry_kit,55,100,96,-9,25
knee_pads,100,-21,25,-48,23
lint_roller,77,100,68,49,41
lip_scrub,-81,100,12,53,-38
loan,-100,-54,3,-21,-42
loose_leaf_tea,-100,-24,-25,-19,-53
luggage_tag,100,13,19,49,34
microwave_cover,62,20,-39,100,47
milk_storage_bags,20,100,11,-3,4
mixer,100,46,52,-7,-60
mold_test,18,-100,26,-95,20
nail_file,-58,-20,71,-32,100
necklace_stand,100,76,88,36,37
night_light,-100,-65,-8,-31,8
olive_pitter,70,100,58,-97,100
outdoor_tv_cover,100,30,21,-24,-10
oven,100,84,-81,40,-65
paper_towel,72,96,100,66,-49
pasta_maker,61,19,59,100,-62
pattern_weights,-100,32,28,-41,46
pilates_ring,-2,-100,34,36,5
popcorn,-6,-21,-73,-79,-100
porch_swing,-100,38,-65,-11,-54
pressure_cooker,100,17,-18,-0,1
recliner,-7,85,93,100,38
reusable_bag,65,-100,59,79,45
rfid_wallet,14,4,100,-98,22
safety_pins,100,16,17,22,16
salmon,2,22,100,-46,62
scrunchie,100,9,3,76,77
security_camera,100,77,89,74,58
sewing_machine,100,22,-42,-57,30
shower_curtain,80,-47,11,100,28
shuffleboard_table,-65,57,-100,77,96
sippy_cup,100,-11,-10,35,6
sleep_sack,100,63,14,78,5
sleeping_bag,15,-100,-46,12,10
snow_blower,38,43,45,100,-66
snow_brush,100,7,13,16,25
soccer_ball,71,77,100,22,53
soil,7,-12,-27,35,100
sparkling_water,100,30,-8,38,-30
sponges,66,32,3,71,-100
stability_ball,100,7,39,29,46
stapler,72,92,82,100,54
stockings,21,39,100,-44,19
stopwatch,46,35,100,80,-78
tamper,48,-76,-52,-40,100
tea,100,-9,8,31,11
tongs,100,2,39,-94,96
travel_wallet,73,-8,18,100,-90
washi_tape,100,23,6,-23,31
washing_machine,89,48,-100,-84,-75
wheelbarrow,-1,-16,7,91,100
windshield_cover,100,40,38,-12,9
wood_burner,50,-100,8,89,-40
